,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Qaanaaq,0,GL,1579248207,54,77.48,-69.36,-15.99,6.76
1,Torbay,90,CA,1579248207,85,47.67,-52.73,28.0,12.75
2,Cape Town,20,ZA,1579248207,65,-33.93,18.42,84.0,21.92
3,Fort Nelson,90,CA,1579248031,74,58.81,-122.7,-25.6,1.48
4,Saint-Philippe,20,RE,1579248208,70,-21.36,55.77,86.0,9.17
5,Ilulissat,69,GL,1579248208,54,69.22,-51.1,3.2,9.17
6,Tiksi,84,RU,1579248208,88,71.69,128.87,-19.05,7.87
7,Kapaa,20,US,1579247909,83,22.08,-159.32,73.4,4.7
8,Jizan,0,SA,1579248209,65,17.33,42.67,80.6,16.11
9,Dingle,1,PH,1579248209,81,11.0,122.67,81.86,8.59
10,Mar del Plata,0,AR,1579248209,87,-38.0,-57.56,53.01,8.05
11,Vanimo,0,PG,1579248209,79,-2.67,141.3,83.01,24.96
12,Quryq,0,KZ,1579248209,77,43.2,51.65,41.85,21.65
13,Bredasdorp,75,ZA,1579248210,65,-34.53,20.04,78.8,11.41
14,Rikitea,0,PF,1579248210,78,-23.12,-134.97,75.9,13.53
15,Ushuaia,75,AR,1579248122,71,-54.8,-68.3,51.8,9.17
16,Yellowknife,90,CA,1579248210,74,62.46,-114.35,-23.01,3.36
17,Aksu,73,CN,1579248210,60,41.12,80.26,32.83,3.69
18,Uvalde,90,US,1579248211,100,29.37,-99.77,64.0,3.36
19,Cabo San Lucas,82,MX,1579248002,28,22.89,-109.91,75.0,2.57
20,Port Alfred,85,ZA,1579248211,92,-33.59,26.89,79.0,3.0
21,Kumul,100,CN,1579248211,83,42.8,93.45,19.56,3.2
22,Vaini,90,TO,1579248211,100,-21.2,-175.2,77.0,10.29
23,Nome,1,US,1579248155,65,64.5,-165.41,9.0,9.17
24,Shitanjing,0,CN,1579248212,48,39.23,106.34,27.64,3.24
25,Kisangani,95,CD,1579248212,32,0.52,25.2,96.26,2.28
26,Busselton,0,AU,1579248212,28,-33.65,115.33,88.0,23.31
27,Domna,19,RU,1579248212,64,51.9,113.16,-0.4,2.24
28,Faanui,58,PF,1579248045,80,-16.48,-151.75,81.41,19.66
29,Ancud,0,CL,1579248213,76,-41.87,-73.82,51.8,13.87
30,Thompson,75,CA,1579248213,68,55.74,-97.86,-20.2,2.24
31,Hasaki,75,JP,1579248109,69,35.73,140.83,48.2,6.93
32,Fallon,40,US,1579248214,68,39.47,-118.78,30.2,10.29
33,Hithadhoo,75,MV,1579248214,77,-0.6,73.08,82.47,15.88
34,Atuona,100,PF,1579248214,77,-9.8,-139.03,81.59,23.71
35,Birjand,0,IR,1579248214,37,32.87,59.22,37.4,4.7
36,Ribeira Grande,75,PT,1579248215,93,38.52,-28.7,55.4,8.05
37,Butaritari,62,KI,1579248215,79,3.07,172.79,84.56,17.54
38,Machilipatnam,75,IN,1579248215,66,16.17,81.13,84.2,3.36
39,Kaitangata,0,NZ,1579248215,87,-46.28,169.85,56.16,23.62
40,Lebu,0,CL,1579248215,76,-37.62,-73.65,50.23,3.44
