,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Arraial do Cabo,75,BR,1578998342,78,-22.97,-42.03,77.0,3.36
1,Khatanga,49,RU,1578998583,88,71.97,102.5,-19.68,7.61
2,Hermanus,36,ZA,1578998583,49,-34.42,19.23,90.0,4.0
3,Sumter,20,US,1578998583,93,28.71,-82.08,66.99,3.13
4,Puerto Ayora,69,EC,1578998584,75,-0.74,-90.35,75.99,8.01
5,Butaritari,100,KI,1578998584,78,3.07,172.79,82.8,18.41
6,Westport,40,US,1578998522,93,41.14,-73.36,41.0,6.93
7,Jizan,20,SA,1578998584,51,17.33,42.67,86.0,11.41
8,Sur,0,OM,1578998584,36,22.57,59.53,72.32,1.9
9,Ushuaia,90,AR,1578998513,100,-54.8,-68.3,44.6,2.17
10,Airai,100,TL,1578998585,96,-8.93,125.41,68.99,0.63
11,Tuatapere,79,NZ,1578998585,89,-46.13,167.68,51.01,4.0
12,Bluff,92,NZ,1578998585,89,-46.6,168.33,51.01,4.0
13,George Town,20,MY,1578998585,59,5.41,100.34,89.6,9.17
14,Busselton,0,AU,1578998585,50,-33.65,115.33,73.99,10.0
15,Albany,90,US,1578998586,100,42.6,-73.97,36.0,4.7
16,Cape Town,20,ZA,1578998473,61,-33.93,18.42,90.0,16.11
17,Oranjemund,27,NA,1578998586,55,-28.55,16.43,77.18,17.34
18,Namatanai,100,PG,1578998586,75,-3.67,152.43,83.1,11.5
19,Jamestown,1,US,1578998586,86,42.1,-79.24,30.99,6.93
20,Baykit,97,RU,1578998587,98,61.67,96.37,-6.0,3.24
21,Thompson,75,CA,1578998295,75,55.74,-97.86,-16.6,6.93
22,Barrow,90,US,1578998587,85,71.29,-156.79,19.4,27.51
23,Gisborne,59,NZ,1578998587,65,-38.65,178.0,60.01,8.99
24,Inyonga,9,TZ,1578998587,63,-6.72,32.07,79.16,8.08
25,Maceio,20,BR,1578998588,74,-9.67,-35.74,80.6,6.93
26,Rikitea,0,PF,1578998588,80,-23.12,-134.97,77.5,9.91
27,Salalah,0,OM,1578998314,16,17.02,54.09,75.2,16.11
28,Aklavik,5,CA,1578998588,69,68.22,-135.01,-11.2,5.82
29,Mizdah,80,LY,1578998588,71,31.45,12.98,48.78,15.75
30,Port Lincoln,9,AU,1578998588,86,-34.73,135.87,64.69,14.43
31,Vaini,40,TO,1578998589,88,-21.2,-175.2,78.8,6.93
32,Tamiahua,67,MX,1578998589,87,21.27,-97.45,70.72,4.18
33,Lima,90,PE,1578998589,88,-12.04,-77.03,69.8,3.36
34,Praia,87,CV,1578998589,73,14.92,-23.51,71.6,20.8
35,Japura,38,ID,1578998589,92,-0.32,102.35,76.75,0.78
36,Yaan,2,NG,1578998589,20,7.38,8.57,104.74,3.58
37,Mingguang,7,CN,1578998590,67,32.78,117.96,35.46,2.86
38,Vikhorevka,40,RU,1578998590,84,56.12,101.16,0.0,4.47
39,Ulaanbaatar,33,MN,1578998590,70,47.91,106.88,-5.8,2.24
40,Port Alfred,71,ZA,1578998577,84,-33.59,26.89,78.01,5.01
41,Dikson,100,RU,1578998590,95,73.51,80.55,6.37,8.55
42,Mindelo,75,CV,1578998591,68,16.89,-24.98,71.6,23.04
43,Avarua,98,CK,1578998591,88,-21.21,-159.78,78.8,12.75
44,Mongo,0,TD,1578998591,6,12.18,18.69,93.24,8.63
45,Marshall,90,US,1578998591,100,34.38,-86.33,64.99,9.17
46,Ugep,19,NG,1578998591,35,5.81,8.08,97.52,1.81
47,Kitami,75,JP,1578998592,73,43.8,143.89,23.0,4.7
48,Antsohihy,64,MG,1578998592,62,-14.88,47.99,89.38,4.74
49,Alberton,100,CA,1578998592,65,46.82,-64.07,23.0,6.58
50,Hithadhoo,65,MV,1578998592,80,-0.6,73.08,81.77,14.43
51,Bethel,75,US,1578998592,93,41.37,-73.41,39.2,2.33
52,Padang,100,ID,1578998592,97,-0.95,100.35,70.84,1.43
53,Harindanga,0,IN,1578998593,44,22.04,88.32,75.2,4.7
54,Ketchikan,1,US,1578998593,47,55.34,-131.65,15.8,11.41
55,Cherskiy,0,RU,1578998593,75,68.75,161.3,-26.0,2.19
56,Katsuura,75,JP,1578998593,62,35.13,140.3,51.8,4.7
57,Ponta Delgada,75,PT,1578998593,93,37.73,-25.67,57.2,20.8
58,Port Elizabeth,75,ZA,1578998593,74,-33.92,25.57,80.6,17.22
59,Vestmannaeyjar,75,IS,1578998594,55,63.44,-20.27,35.6,34.45
60,Kapaa,90,US,1578998594,78,22.08,-159.32,77.0,19.46
61,Comodoro Rivadavia,56,AR,1578998594,37,-45.87,-67.5,68.0,31.09
62,Kavaratti,67,IN,1578998594,70,10.57,72.64,81.18,13.38
63,Ostrovnoy,97,RU,1578998594,98,68.05,39.51,13.86,7.4
